_id,ownerId,companyId,firstName,lastName,email,phone,company,website,title,industry,source,status,priority,temperature,lostReason,expectedCloseDate,actualCloseDate,followUpDate,lastStatusChange,convertedDate,address.street,address.city,address.state,address.postalCode,address.country,openTasks[0],openTasks[1],closeTasks[0],closeTasks[1],socialProfiles.facebook,socialProfiles.instagram,socialProfiles.linkedIn,socialProfiles.twitter,isConverted,isDeleted,emailCount,lastEmailSentAt,createdAt,updatedAt,__v,openMeetings[0],openCalls[0],isAssign,attachments[0].url,attachments[1].url,attachments[2].url,attachments[3].url,attachments[0].name,attachments[1].name,attachments[2].name,attachments[3].name,attachments[0].type,attachments[1].type,attachments[2].type,attachments[3].type,attachments[0].size,attachments[1].size,attachments[2].size,attachments[3].size,attachments[0].uploadedAt,attachments[1].uploadedAt,attachments[2].uploadedAt,attachments[3].uploadedAt,attachments[0]._id,attachments[1]._id,attachments[2]._id,attachments[3]._id,closeCalls[0],closeCalls[1],notes[0].content,notes[0].createdBy,notes[0].createdAt,notes[0]._id
68be8185ebd1e0c20a5ddfca,68c2742ae3789d05b78bec12,68c27337e3789d05b78bebfd,graaaj33esh,soo,pratap1375600@gmail.com,6371080801,,,,Other,Other,New,Medium,Warm,Other,,,9/8/25,,,siko,,,,,68bfd41bf03599be72bb9b5f,68c2ab93d7b8dafb645e7e85,68bfd591792b9371a4b3e310,,,,,,FALSE,FALSE,0,,2025-09-08T07:11:01.706Z,2025-09-11T10:59:31.864Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe2,68c2742ae3789d05b78bec12,68c27337e3789d05b78bebfd,graaaj33esh,soo,pratap1375900@gmail.com,6371080801,,,,Other,Other,Converted,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,TRUE,FALSE,0,,2025-09-08T07:13:25.965Z,2025-09-08T07:13:25.965Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe3,68be7660a45ae5af0572f7be,,Demo1,User1,demo1@example.com,6371502102,DemoCompany1,,Manager,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:25.989Z,2025-09-08T07:13:25.989Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe4,68be7660a45ae5af0572f7be,,Demo2,User2,demo2@example.com,6371712747,DemoCompany2,,Engineer,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.009Z,2025-09-08T07:13:26.009Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe5,68be7660a45ae5af0572f7be,,Demo3,User3,demo3@example.com,6371402736,DemoCompany3,,Analyst,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.024Z,2025-09-08T07:13:26.024Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe6,68be7660a45ae5af0572f7be,,Demo4,User4,demo4@example.com,6371236760,DemoCompany4,,Consultant,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.038Z,2025-09-08T07:13:26.038Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe7,68be7660a45ae5af0572f7be,,Demo5,User5,demo5@example.com,6371674220,DemoCompany5,,Manager,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.047Z,2025-09-08T07:13:26.047Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe8,68be7660a45ae5af0572f7be,,Demo6,User6,demo6@example.com,6371614045,DemoCompany6,,Developer,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.061Z,2025-09-08T07:13:26.061Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfe9,68be7660a45ae5af0572f7be,,Demo7,User7,demo7@example.com,6371600696,DemoCompany7,,Engineer,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.078Z,2025-09-08T07:13:26.078Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfea,68be7660a45ae5af0572f7be,,Demo8,User8,demo8@example.com,6371382439,DemoCompany8,,Developer,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.092Z,2025-09-08T07:13:26.092Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfeb,68be7660a45ae5af0572f7be,,Demo9,User9,demo9@example.com,6371950033,DemoCompany9,,Consultant,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.110Z,2025-09-08T07:13:26.110Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfec,68be7660a45ae5af0572f7be,,Demo10,User10,demo10@example.com,6371237689,DemoCompany10,,Manager,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.126Z,2025-09-08T07:13:26.126Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfed,68be7660a45ae5af0572f7be,,Demo11,User11,demo11@example.com,6371132774,DemoCompany11,,Engineer,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.141Z,2025-09-08T07:13:26.141Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfee,68be7660a45ae5af0572f7be,,Demo12,User12,demo12@example.com,6371879914,DemoCompany12,,Consultant,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.402Z,2025-09-08T07:13:26.402Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddfef,68be7660a45ae5af0572f7be,,Demo13,User13,demo13@example.com,6371875012,DemoCompany13,,Analyst,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.460Z,2025-09-08T07:13:26.460Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddff0,68be7660a45ae5af0572f7be,,Demo14,User14,demo14@example.com,6371534503,DemoCompany14,,Consultant,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.486Z,2025-09-08T07:13:26.486Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddff1,68be7660a45ae5af0572f7be,,Demo15,User15,demo15@example.com,6371974557,DemoCompany15,,Consultant,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.497Z,2025-09-08T07:13:26.497Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddff2,68be7660a45ae5af0572f7be,,Demo16,User16,demo16@example.com,6371743797,DemoCompany16,,Analyst,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.512Z,2025-09-08T07:13:26.512Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddff3,68be7660a45ae5af0572f7be,,Demo17,User17,demo17@example.com,6371212783,DemoCompany17,,Manager,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.529Z,2025-09-08T07:13:26.529Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68be8217ebd1e0c20a5ddff4,68be7660a45ae5af0572f7be,,Demo18,User18,demo18@example.com,6371453455,DemoCompany18,,Analyst,Other,Other,New,Medium,Warm,Other,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,,2025-09-08T07:13:26.555Z,2025-09-08T07:13:26.555Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
